model,operating_point,n_seeds,threshold_mean,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
resnet50,t=0.5,3,0.5,0.8879825992387168,0.0033958662307767167,0.6882366808109381,0.012965046493580379,0.6666666666666666,0.033384734032074,0.6768740031897926,0.01546967228450672,0.8045557268050905,0.008431730374783347,0.891089108910891,0.010568804327789364
resnet50,t*(F1),3,0.6866666666666666,0.8890701468189234,0.004893964110929849,0.731968277149,0.03931784276634636,0.5895061728395062,0.037420850780809076,0.6516628557108819,0.011651783974904918,0.7928333140619541,0.006067001321910354,0.891089108910891,0.010568804327789364
resnet50,t*(Youden),3,0.3033333333333334,0.8743882544861337,0.014499501496436508,0.6253549195449927,0.0496449474541547,0.7314814814814814,0.018518518518518545,0.6730782369232872,0.02074369875831488,0.7976470164116467,0.015308455257860835,0.891089108910891,0.010568804327789364
densenet121,t=0.5,3,0.5,0.8722131593257205,0.01789503281338155,0.6357425949103046,0.07600619359771169,0.6759259259259259,0.06481481481481481,0.6513139470226362,0.030303292696590794,0.7864830956651675,0.020052559736422528,0.8565273193986064,0.012493650499784348
densenet121,t*(F1),3,0.65,0.883088635127787,0.016340379773047007,0.6882342123652947,0.05643406460886773,0.6172839506172839,0.06024451017266398,0.6500478907826636,0.05109518174111133,0.7899265445460907,0.030247970545644074,0.8565273193986064,0.012493650499784348
densenet121,t*(Youden),3,0.3066666666666667,0.8444806960304514,0.04063049231804817,0.5557774508684369,0.08824995019255061,0.7345679012345679,0.042766686606638946,0.6284648115450341,0.05146323201009262,0.76488980089299,0.0400980227822339,0.8565273193986064,0.012493650499784348
efficientnet_b0,t=0.5,3,0.5,0.8689505165851007,0.011104175017217032,0.63497150997151,0.0516036301954718,0.6234567901234568,0.05099602358598243,0.6263742245063948,0.004954255488117828,0.7734102802652588,0.00517951685865222,0.8678462290673511,0.010911601680524798
efficientnet_b0,t*(F1),3,0.5333333333333333,0.8754758020663403,0.006592906825982617,0.6571236471685427,0.029673063919929826,0.617283950617284,0.021383343303319504,0.6360035081849199,0.010640254240179453,0.7804387919012946,0.00708702848647506,0.8678462290673511,0.010911601680524798
efficientnet_b0,t*(Youden),3,0.3233333333333333,0.8477433387710712,0.03239449920305921,0.5668657179417581,0.08045623662362045,0.6913580246913581,0.05265037688034562,0.6180126171256555,0.030765744068204096,0.7612995004014836,0.02717874588782789,0.8678462290673511,0.010911601680524798
